Schleswig-Holstein,0,Dithmarschen,133447
Schleswig-Holstein,1,Flensburg,88519
Schleswig-Holstein,2,Herzogtum Lauenburg,196074
Schleswig-Holstein,3,Kiel,247943
Schleswig-Holstein,4,Lübeck,216318
Schleswig-Holstein,5,Neumünster,79335
Schleswig-Holstein,6,Nordfriesland,165462
Schleswig-Holstein,7,Ostholstein,200584
Schleswig-Holstein,8,Pinneberg,312662
Schleswig-Holstein,9,Plön,128842
Schleswig-Holstein,10,Rendsburg-Eckernförde,273022
Schleswig-Holstein,11,Schleswig-Flensburg,199503
Schleswig-Holstein,12,Segeberg,274025
Schleswig-Holstein,13,Steinburg,131613
Schleswig-Holstein,14,Stormarn,242472
Hamburg,15,Hamburg,1830584
Niedersachsen,16,Ammerland,123377
Niedersachsen,17,Aurich,189949
Niedersachsen,18,Braunschweig,248023
Niedersachsen,19,Celle,178764
Niedersachsen,20,Cloppenburg,167925
Niedersachsen,21,Cuxhaven,198100
Niedersachsen,22,Delmenhorst,77521
Niedersachsen,23,Diepholz,216012
Niedersachsen,24,Emden,50607
Niedersachsen,25,Emsland,323636
Niedersachsen,26,Friesland,98509
Niedersachsen,27,Gifhorn,175079
Niedersachsen,28,Goslar,137563
Niedersachsen,29,Göttingen,328036
Niedersachsen,30,Grafschaft Bentheim,135859
Niedersachsen,31,Hameln-Pyrmont,148296
Niedersachsen,32,Harburg,251511
Niedersachsen,33,Heidekreis,139099
Niedersachsen,34,Helmstedt,91720
Niedersachsen,35,Hildesheim,276640
Niedersachsen,36,Holzminden,71144
Niedersachsen,37,Leer,168946
Niedersachsen,38,Lüchow-Dannenberg,48357
Niedersachsen,39,Lüneburg,182930
Niedersachsen,40,Nienburg (Weser),121470
Niedersachsen,41,Northeim,133046
Niedersachsen,42,Oldenburg_Kreis,129924
Niedersachsen,43,Oldenburg,167081
Niedersachsen,44,Osnabrück,164374
Niedersachsen,45,Osnabrück_Kreis,356140
Niedersachsen,46,Osterholz,113105
Niedersachsen,47,Peine,133368
Niedersachsen,48,Region Hannover,1152675
Niedersachsen,49,Rotenburg (Wümme),163377
Niedersachsen,50,Salzgitter,104548
Niedersachsen,51,Schaumburg,157883
Niedersachsen,52,Stade,201887
Niedersachsen,53,Uelzen,92744
Niedersachsen,54,Vechta,140540
Niedersachsen,55,Verden,136590
Niedersachsen,56,Wesermarsch,89022
Niedersachsen,57,Wilhelmshaven,76316
Niedersachsen,58,Wittmund,56731
Niedersachsen,59,Wolfenbüttel,120437
Niedersachsen,60,Wolfsburg,123914
Bremen,61,Bremen,568006
Bremen,62,Bremerhaven,113026
Nordrhein-Westfalen,63,Bielefeld,332552
Nordrhein-Westfalen,64,Bochum,365529
Nordrhein-Westfalen,65,Bonn,325490
Nordrhein-Westfalen,66,Borken,369718
Nordrhein-Westfalen,67,Bottrop,117364
Nordrhein-Westfalen,68,Coesfeld,219360
Nordrhein-Westfalen,69,Dortmund,586600
Nordrhein-Westfalen,70,Duisburg,498110
Nordrhein-Westfalen,71,Düren,262889
Nordrhein-Westfalen,72,Düsseldorf,617280
Nordrhein-Westfalen,73,Ennepe-Ruhr-Kreis,324670
Nordrhein-Westfalen,74,Essen,583393
Nordrhein-Westfalen,75,Euskirchen,192127
Nordrhein-Westfalen,76,Gelsenkirchen,260305
Nordrhein-Westfalen,77,Gütersloh,363049
Nordrhein-Westfalen,78,Hagen,187730
Nordrhein-Westfalen,79,Hamm,179185
Nordrhein-Westfalen,80,Heinsberg,253106
Nordrhein-Westfalen,81,Herford,251539
Nordrhein-Westfalen,82,Herne,156490
Nordrhein-Westfalen,83,Hochsauerlandkreis,261591
Nordrhein-Westfalen,84,Höxter,141565
Nordrhein-Westfalen,85,Kleve,311270
Nordrhein-Westfalen,86,Köln,1080394
Nordrhein-Westfalen,87,Krefeld,226699
Nordrhein-Westfalen,88,Leverkusen,163577
Nordrhein-Westfalen,89,Lippe,349069
Nordrhein-Westfalen,90,Märkischer Kreis,413383
Nordrhein-Westfalen,91,Mettmann,485409
Nordrhein-Westfalen,92,Minden-Lübbecke,311207
Nordrhein-Westfalen,93,Mönchengladbach,262188
Nordrhein-Westfalen,94,Mülheim an der Ruhr,171265
Nordrhein-Westfalen,95,Münster,313559
Nordrhein-Westfalen,96,Oberbergischer Kreis,272968
Nordrhein-Westfalen,97,Oberhausen,211422
Nordrhein-Westfalen,98,Olpe,134808
Nordrhein-Westfalen,99,Paderborn,305362
